car_name,model,mpg,miles,gallons,price,city_percentage,fuelup_date,date_added,tags,notes,missed_fuelup,partial_fuelup,latitude,longitude,brand
"2006 Honda Accord EX","Honda Accord",23.91,297,12.424,2.809,50,2018-02-01,2018-02-01 13:45:00,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",22.8,277.3,12.163,2.669,50,2018-01-09,2018-01-09 22:42:00,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.84,311.8,12.551,2.609,50,2017-12-21,2017-12-21 14:24:40,"","Oil checked. Added about 1 cup (8 oz). Chips on paint of hood. ",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.87,313.4,12.6,2.609,50,2017-12-11,2017-12-11 02:05:57,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.48,298.8,12.728,2.629,50,2017-11-21,2017-11-21 23:17:06,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29,360.5,12.431,2.619,50,2017-11-06,2017-11-06 12:22:59,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.74,203.6,7.339,2.568,50,2017-10-28,2017-10-28 10:19:27,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.9,334.8,12.447,2.529,50,2017-10-23,2017-10-23 23:01:52,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.45,320.5,12.117,2.669,50,2017-10-11,2017-10-11 10:52:37,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.97,334.3,11.952,2.829,50,2017-09-24,2017-09-24 18:16:55,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.03,356.4,12.279,2.869,50,2017-09-17,2017-09-17 15:48:50,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.55,328.5,11.508,2.869,50,2017-09-10,2017-09-10 23:22:11,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.06,274.5,9.783,2.829,50,2017-09-04,2017-09-04 20:18:47,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.41,388.7,12.783,2.469,50,2017-08-29,2017-08-29 21:31:23,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.31,344.6,12.617,2.432,50,2017-08-22,2017-08-22 02:15:38,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.54,358.1,11.726,2.469,50,2017-08-14,2017-08-14 03:23:42,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.42,342.6,12.497,2.499,50,2017-08-12,2017-08-12 01:40:51,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.22,346.6,12.281,2.51,50,2017-08-02,2017-08-02 03:54:21,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.92,315.2,12.647,2.369,50,2017-07-25,2017-07-25 00:17:50,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.25,312.6,12.381,2.369,50,2017-07-17,2017-07-17 12:24:44,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.76,365.2,11.872,2.229,50,2017-07-09,2017-07-09 13:15:15,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.79,397.5,12.91,2.379,50,2017-07-03,2017-07-22 14:41:30,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.22,353.7,11.704,2.429,50,2017-07-01,2017-07-01 22:20:40,"","Didn't pay for this...",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.82,340.6,12.701,2.269,50,2017-06-28,2017-06-28 19:58:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.76,350,12.61,2.329,50,2017-06-21,2017-06-21 23:30:14,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.64,373.9,12.617,2.329,50,2017-06-14,2017-06-14 23:18:58,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.28,340.6,12.96,2.369,50,2017-06-08,2017-06-08 23:53:28,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.25,366.5,12.529,2.369,50,2017-05-30,2017-05-30 21:57:34,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.55,390.6,12.786,2.429,50,2017-05-23,2017-05-23 13:27:24,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.14,242.2,8.607,2.364,50,2017-05-18,2017-05-18 22:27:31,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.3,379.2,12.516,2.469,50,2017-05-13,2017-05-13 19:53:43,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.41,307.1,10.811,2.629,50,2017-05-07,2017-05-07 21:05:34,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.72,294.9,11.464,2.529,,2017-05-06,2017-05-06 15:10:19,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",29.97,371.8,12.408,2.569,50,2017-04-26,2017-04-26 21:38:49,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",30.09,380,12.63,2.629,50,2017-04-20,2017-04-21 00:01:57,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",28.73,328.8,11.445,2.629,50,2017-04-15,2017-04-15 16:01:08,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.9,322.8,12.465,2.502,50,2017-04-08,2017-04-08 03:16:54,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.34,348.9,12.763,2.199,50,2017-03-29,2017-03-29 00:26:23,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.97,301.6,12.08,2.469,50,2017-03-23,2017-03-23 02:09:23,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.36,297.5,12.733,2.349,,2017-03-16,2017-03-16 01:37:45,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.34,319.3,11.681,2.369,50,2017-03-07,2017-03-07 00:49:38,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.8,245,9.498,2.369,,2017-03-02,2017-03-02 23:49:39,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.22,309.1,12.76,2.469,,2017-02-24,2017-02-24 03:48:24,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.43,326,12.337,2.469,50,2017-02-13,2017-02-13 04:31:14,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",27.33,341.3,12.49,2.449,,2017-02-08,2017-02-08 22:59:38,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",25.58,283.2,11.071,2.469,50,2017-01-27,2017-01-27 00:37:44,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.91,334.7,12.438,2.489,50,2017-01-21,2017-01-21 17:57:12,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",24.18,299.8,12.399,2.599,50,2017-01-13,2017-01-13 17:45:56,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.3,320.9,12.2,2.569,50,2017-01-04,2017-01-04 23:32:51,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",26.89,260.9,9.701,2.499,50,2016-12-30,2017-01-04 23:35:11,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.84,296,12.417,2.429,50,2016-12-27,2016-12-27 21:45:21,"","",0,0,,,""
"2006 Honda Accord EX","Honda Accord",23.43,303,12.932,2.199,,2016-12-18,2016-12-18 22:29:04,"","",0,0,,,""
